Title,Company,Location,Description,URL
Human Resources Assistant (Data and Onboarding Associate),Penn State University,"University Park, PA",Penn State Human Resources (HR) is seeking a Human Resources Assistant to provide outstanding support to the HR Data and Onboarding team.,https://www.indeed.com/viewjob?jk=11756cdf429e28f8&from=serp&vjs=3
Research Analyst (Data Science),APCO Worldwide,"Washington, DC","Ensure data and reporting quality.
The Research Analyst will support APCO Insight data science team members in executing advanced data analytics assignments on…",https://www.indeed.com/viewjob?jk=31cd7fd635ec05f8&from=serp&vjs=3
Data Modeler,Intersoft Data Labs,"Columbia, MD 21045","Should be able to analyze business requirements to develop data models with minimal oversight.
Hands on experience with ERWIN Data Modeler and Working on the…",https://www.indeed.com/viewjob?jk=5f5be4a26ca7c284&from=serp&vjs=3
Data & Regulatory Coordinator,UCLA Health,"Los Angeles, CA 90095","You will be responsible for data management, including prompt and accurate case report form (CRF) data entry and query resolution, biospecimen tracking,…",https://www.indeed.com/viewjob?jk=f4b267d4a06e8a1a&from=serp&vjs=3
Data Engineer,LTIMindtree,"Bellevue, WA",Should be able to design & Implement end-end data pipelines using big data technologies • Problem analysis and troubleshooting complex and large datasets.,https://www.indeed.com/viewjob?jk=471d1c0f54a054d8&from=serp&vjs=3
Estate Clerk,Richland County Government,"Richland County, SC","Researches department files, microfilmed court/legal records, database records, electronic data sources, Internet sites and other sources for requested…",https://www.indeed.com/viewjob?jk=cb9fb4e62fb46a95&from=serp&vjs=3
"Data Scientist, Marketing, Google Cloud",Google,"Sunnyvale, CA (Lakewood area)","Experience leveraging data insights into storytelling for business stakeholders.
Analyze security product usage and market data to uncover insights.",https://www.indeed.com/viewjob?jk=ca5600254a958245&from=serp&vjs=3
Data Developer (Remote),One80 Intermediaries,Remote in Illinois,"Net and SQL to migrate the data.
Build data migration processes within SQL SSIS and .
Analyze existing databases to document current functionality and data…",https://www.indeed.com/viewjob?jk=20ae5f949da522b0&from=serp&vjs=3
Clerk III Data: Hightower HS 2024-2025,Fort Bend Independent School District,"Missouri City, TX 77459","Proficient in all general office skills such as data entry and filing.
Retrieve and verify grades and other student data by running data mining reports and…",https://www.indeed.com/viewjob?jk=a415e451ce20b3b3&from=serp&vjs=3
Data Analyst,Kooth USA,"Hybrid work in Chicago, IL 60603","Knowledge of data visualization best practices.
Were seeking a talented and experienced Data Analyst that willenable data driven decisions, clinical excellence…",https://www.indeed.com/viewjob?jk=51775c002fcaf624&from=serp&vjs=3
GIS Data Analyst,Tanger,Remote in North Carolina,"You have experience with a mobile device location data and other real estate data sets (e.g. Placer.ai, Costar, etc.).
Team Member Paid Leave Programs.",https://www.indeed.com/viewjob?jk=5e4d720e9c9b51af&from=serp&vjs=3
Data Architect Mid - Secret,Xcelerate Solutions,Remote in United States,"Create cloud data models and database architecture using database deployment, monitoring automation code, and for long term technical viability of cloud master…",https://www.indeed.com/viewjob?jk=d2c45f5f7cd0a381&from=serp&vjs=3
Data Analytics and Solutions Lead,Neuberger Berman,"New York, NY","Utilize advanced data analytics techniques on billing and compensation data to identify trends and insights.
Advanced proficiency in data analytics tools (e.g.,…",https://www.indeed.com/viewjob?jk=f68a7dc3a89fd35d&from=serp&vjs=3
"SDE - Amazon Maps Data, Geospatial",Amazon.com Services LLC,"Bellevue, WA",The team builds geospatial big data pipelines that ingest raw map data from multiple heterogenous sources and fuses them into one single map using machine…,https://www.indeed.com/viewjob?jk=fe11f50f2fb1c250&from=serp&vjs=3
Data and Call Center Analyst,iLending,"Englewood, CO 80112","2-5 years of data analytics experience.
Partner with cross-functional stakeholders to understand business goals, advise on data strategies, and reengineer…",https://www.indeed.com/viewjob?jk=42068b6e573f459b&from=serp&vjs=3
Data Administrator,Cornerstone Building Brands,"Cary, NC","Preserve data integrity: Regularly validate and maintain data accuracy.
Update and maintain integrity of baseline enterprise data scenario within the Kinaxis…",https://www.indeed.com/viewjob?jk=ef419db1338f2230&from=serp&vjs=3
Data Analyst,WidePoint Corporation,"Norfolk, VA","The Data Analyst manages WidePoint data, develops reports, and troubleshoots data issues.
Interprets data, analyzes results using statistical techniques, and…",https://www.indeed.com/viewjob?jk=b510e136fca2a7fc&from=serp&vjs=3
Business Analysts,SION Stratergy Soft,United States,Our client is a Major Asset Managment Firm seeking a Senior Business Analyst/Project Manager/Relationship Manager with experience supporting either Front Office…,https://www.indeed.com/viewjob?jk=11f9af689825011b&from=serp&vjs=3
Claims Business Analyst II,Sunshine State Health Plan,Remote in Florida,"Support business initiatives through data analysis, identification of implementation barriers and user acceptance testing of new systems.",https://www.indeed.com/viewjob?jk=5414ef22f4514205&from=serp&vjs=3
Program Manager - Business & Data Literacy Program,Sentara Healthcare,"Norfolk, VA 23502",The Program Manager is responsible for the overall management of their assigned Program(s) which will consist of multiple (often 10 or more) related IT projects…,https://www.indeed.com/viewjob?jk=a3e19cc03349dd7a&from=serp&vjs=3
CUSTOMER SERVICE/DATA ENTRY-Part Time,Resource Connections Of Oregon,"Albany, OR 97322 (Santiam area)","Clerical Record data and store documentation in state and agency data systems.
Database Maintenance Enter new individual support plans, changes of information,…",https://www.indeed.com/viewjob?jk=1064ccaa6c30dff2&from=serp&vjs=3
IMS Database Administrator,Intone Networks,Remote,"IMS Database Administrator Exact compensation may vary based on several factors, including skills, experience, and education.",https://www.indeed.com/viewjob?jk=8cf50e7b0d2b2dcc&from=serp&vjs=3
Database Analyst I,McLane Company,"Hybrid work in Temple, TX 76508","Ensure that proper data protection procedures exist for backup and recovery of databases.
Install and maintain Database Software on various platforms.",https://www.indeed.com/viewjob?jk=a3cc7a41fd990d7e&from=serp&vjs=3
Customer Care Agent High Volume Data Entry,Southern Glazer’s Wine and Spirits,"Tampa, FL 33619","As a full-time employee, you can choose from a full menu of our Top Shelf Benefits, including comprehensive medical and prescription drug coverage, dental and…",https://www.indeed.com/viewjob?jk=9188177a3bbb4f40&from=serp&vjs=3
HOPWA Program Data Entry,Hyacinth Foundation A New Jersey,"Trenton, NJ","Proven experience as data entry assistant.
Review, check and process customer data.
Responsible for federal and state data entry deliverables.",https://www.indeed.com/viewjob?jk=aa53a1076a13da15&from=serp&vjs=3
Business Intelligence Lead,Humana,Remote,"Builds the necessary data pipelines to curate the data working with internal and external teams.
Steward of data and report accuracy.",https://www.indeed.com/viewjob?jk=f6f1fd0017645092&from=serp&vjs=3
Data Engineer - US,Kohler Energy,"Kohler, WI","Assists in the identification and resolution of data integration issues, troubleshooting data discrepancies, and implementing corrective measures.",https://www.indeed.com/viewjob?jk=df3876d4a4a9f37d&from=serp&vjs=3
"Diversity, Inclusion, and Data Assistant",Freshfields Bruckhaus Deringer LLP,"Raleigh, NC","Partner with HR Shared Services Data Coordinator to extract, collate, and prepare US D&I data from Workday to draft narratives for response to external…",https://www.indeed.com/viewjob?jk=97e3a2a307b70f5c&from=serp&vjs=3
Part Time - Penn State Global - Database Support Associate,Penn State University,"University Park, PA",JOB DESCRIPTION AND POSITION REQUIREMENTS: Partnership Agreements in Penn State Global is looking for a part-time database support associate to help with…,https://www.indeed.com/viewjob?jk=961fa76a50611cbd&from=serp&vjs=3
Data Quality Specialist,Solera,"Eagan, MN","Data Quality Specialist/Eagan, MN Who We Are Solera is a global leader in data and software services that strives to transform every touchpoint of the…",https://www.indeed.com/viewjob?jk=ab4203c7a9057b4b&from=serp&vjs=3
"Data Processing User Support Technician I, II - Maui Waena Intermediate",Hawaiʻi State Department of Education,"Kahului, HI 96732",Description The authorized level of the position is Data Processing User Support Technician II. Applications are being accepted down to the Data Processing…,https://www.indeed.com/viewjob?jk=cdfe3ec0a617061a&from=serp&vjs=3
Data Analyst (Research & Evaluation),The School District Of Philadelphia,"Philadelphia, PA","Data Analyst (Research & Evaluation) - (50022109) Description This is a full-time, Non-Represented role. The salary grade for this posting is 4024 The salary…",https://www.indeed.com/viewjob?jk=46c5c854200035b7&from=serp&vjs=3
Senior Data & Analytics Program Manager (Remote),IQVIA,Remote,"Summary: Within the U.S. and Canada RBU, the commercial Analytics Hub is looking for a Senior Program Manager to implement a data & analytics portfolio of…",https://www.indeed.com/viewjob?jk=9ff9b36405bdc269&from=serp&vjs=3
Supply Chain Specialist - Strategic Data Analytics,ALDI,"Hybrid work in Naperville, IL","Here on the Target Supply Chain team, we focus on strategic supply chain and warehouse improvements that future proof our operations. Our team is tasked to…",https://www.indeed.com/viewjob?jk=82f5ec85c7fae759&from=serp&vjs=3
Data Engineer,Discover Financial Services,"Riverwoods, IL 60015","Discover. A brighter future. With us, you’ll do meaningful work from Day 1. Our collaborative culture is built on three core behaviors: We Play to Win, We Get…",https://www.indeed.com/viewjob?jk=a44c7fc45f45897b&from=serp&vjs=3
UX Data Visualization Designer,Ford Motor Company,"Remote in Detroit, MI 48216","We are the movers of the world and the makers of the future. We get up every day, roll up our sleeves and build a better world - together. At Ford, we’re all…",https://www.indeed.com/viewjob?jk=f0dcba05fc3a7d07&from=serp&vjs=3
Data Automation Specialist,"Signature Performance, Inc",United States,"ABOUT YOU You are a person who loves to design, implement, and maintain robust data pipelines and SSIS packages tailored to our EDW environment that ensure…",https://www.indeed.com/viewjob?jk=24e72ac299f2db37&from=serp&vjs=3
LTE Climate Data Assistant,Dane County,"Madison, WI","The Dane County Executive's Office, Office of Energy and Climate Change has a Limited Term vacancy for a LTE ClimateData Assistant in Madison, WI. _Typical…",https://www.indeed.com/viewjob?jk=0cda44d0a043e684&from=serp&vjs=3
Data & Supply Senior Strategist,Verizon,"Hybrid work in New York, NY","When you join Verizon Verizon is one of the world’s leading providers of technology and communications services, transforming the way we connect around the…",https://www.indeed.com/viewjob?jk=a433072c34dc0cb7&from=serp&vjs=3
Corporate Data Specialist,Cooley LLP,"New York, NY",Cooley is seeking a Corporate Data Specialist to join the Legal Intelligence team. Position summary: Cooley Information Services (IS) embraces a culture of…,https://www.indeed.com/viewjob?jk=d01a242bf155fb40&from=serp&vjs=3
JPMorganChase Institute - Data Operations Engineer - Associate,JPMorgan Chase & Co,"Washington, DC 20005 (Logan Circle area)","JOB DESCRIPTION Join a team using proprietary data, expertise, and market access to help decision makers make informed economic decisions to advance…",https://www.indeed.com/viewjob?jk=6ae7d945a1a28fd8&from=serp&vjs=3
Student Information Data Manager-12 Month Position-Full Time-Available Immediately,Davidson County Schools,"Lexington, NC 27295","Student Information Data Manager-12 Month Position-Full Time-Available Immediately Minimum Salary - $2886.18 Monthly A maximum of 5 years, none Davidson…",https://www.indeed.com/viewjob?jk=c6de0e86948fd4e5&from=serp&vjs=3
Data Science/Analytics Developer,ePATHUSA Inc,"Tucker, GA 30084","This position is responsible for development / maintenance of both current and future data science applications, visualizations, reports, and supporting ETL.…",https://www.indeed.com/viewjob?jk=c133508402093699&from=serp&vjs=3
Junior Business Intelligence Analyst,Veronica Beard,United States,"Gain experience and contribute to various data areas, including data engineering and data science.
Help ensure data compliance with data privacy regulations and…",https://www.indeed.com/viewjob?jk=b803157263157e77&from=serp&vjs=3
Attendance/Data Entry Clerk - Blytheville Primary School,Blytheville School District,"Blytheville, AR 72315","60+ Hours from an accredited college or university (preferred).
Associate's Degree from an accredited college or university (Prferred).",https://www.indeed.com/viewjob?jk=35c50c33cf6875f9&from=serp&vjs=3
HR Data Analytics Specialist,Mars,"Chicago, IL 60601 (Loop area)","Data Analytical skills and thinking: Enjoys and skilled in combining automated and manual data sources, turning data into trends and communicating insights.",https://www.indeed.com/viewjob?jk=2a941d4f7f4ec8be&from=serp&vjs=3
"Design Data Entry PM, DE Electrical",Amazon.com Services LLC,"Herndon, VA","Data entry into existing data analysis tools.
Due to this growth we need a collaborative, organized, and innovative Data Entry Project Manager (PM) for data…",https://www.indeed.com/viewjob?jk=bcdd9ec45e6ae2dc&from=serp&vjs=3
Data Specialist (1.0 FTE) - Ryan White Positive Care (grant-funded),Hennepin Healthcare,"Minneapolis, MN 55415 (Elliot Park area)","Interprets data results and test for validity.
Summarizes results creating graphical and tabular data presentations.",https://www.indeed.com/viewjob?jk=964415dfe91eeaf3&from=serp&vjs=3
CapEx Early Engagement - Data Analyst,Apple,"Cupertino, CA",Design data schema and collection methodologies -Build and create data optimization models for manufacturing use cases -Analyze large set of data to identify…,https://www.indeed.com/viewjob?jk=beab5c1a89856f6b&from=serp&vjs=3
Service Accounts Data Entry Coordinator,"Vector Security, INC","Gainesville, VA 20155","As a Service Accounts Data Entry Coordinator, you will conduct information and status updates to third-party software regarding open Service Work Orders, and…",https://www.indeed.com/viewjob?jk=d2ca743e64888139&from=serp&vjs=3
"Data Strategist, Macro",Point72,"New York, NY","We leverage innovative alternative data sources, advanced data analytics and technologies, and deep fundamental research to create high-quality compliant and…",https://www.indeed.com/viewjob?jk=4d36ddd15e5889bc&from=serp&vjs=3
